"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"229",2011,"Athletic Club","La Liga","Raúl Fernández","ESP","GK","22",1988,1,1,90,1,1,1,4,3,75,1,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/6fb59070/Raul-Fernandez"
"230",2011,"Athletic Club","La Liga","Gorka Iraizoz","ESP","GK","29",1981,37,37,3330,37,54,1.46,171,117,68.4,18,4,16,9,24.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/26f2473f/Gorka-Iraizoz"
"231",2011,"Atlético Madrid","La Liga","David de Gea","ESP","GK","19",1990,38,38,3420,38,53,1.39,199,146,73.4,17,7,14,11,28.9,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
"232",2011,"Auxerre","Ligue 1","Olivier Sorin","FRA","GK","29",1981,38,38,3420,38,41,1.08,136,95,69.9,10,19,9,8,21.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/56d43c27/Olivier-Sorin"
"233",2011,"Barcelona","La Liga","José Manuel Pinto","ESP","GK","34",1975,6,6,540,6,5,0.83,20,15,75,5,0,1,2,33.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4a3cd9b7/Jose-Manuel-Pinto"
"234",2011,"Barcelona","La Liga","Víctor Valdés","ESP","GK","28",1982,32,32,2880,32,16,0.5,96,80,83.3,25,6,1,17,53.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e029e404/Victor-Valdes"
"235",2011,"Bari","Serie A","Jean-François Gillet","BEL","GK","31",1979,36,36,3240,36,53,1.47,182,129,70.9,5,8,23,6,16.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ee013fa5/Jean-Francois-Gillet"
"236",2011,"Bari","Serie A","Daniele Padelli","ITA","GK","24",1985,2,2,180,2,3,1.5,11,8,72.7,0,1,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cf1c23d8/Daniele-Padelli"
"237",2011,"Bayern Munich","Bundesliga","Hans-Jörg Butt","GER","GK","36",1974,23,22,2025,22.5,26,1.16,78,52,66.7,12,6,4,6,27.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5c6a124a/Hans-Jorg-Butt"
"238",2011,"Bayern Munich","Bundesliga","Thomas Kraft","GER","GK","22",1988,12,12,1035,11.5,14,1.22,56,42,75,7,2,3,3,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/bb25c778/Thomas-Kraft"
"239",2011,"Birmingham City","Premier League","Colin Doyle","IRL","GK","25",1985,1,0,51,0.6,3,5.29,7,4,57.1,0,0,1,0,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/93b41c46/Colin-Doyle"
"240",2011,"Birmingham City","Premier League","Ben Foster","ENG","GK","27",1983,38,38,3369,37.4,55,1.47,250,195,78,8,15,14,9,23.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d0b3ceb9/Ben-Foster"
"241",2011,"Blackburn","Premier League","Mark Bunn","ENG","GK","25",1984,3,2,225,2.5,4,1.6,14,10,71.4,2,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a6738b6c/Mark-Bunn"
