"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"73",2018,"Angers","Ligue 1","Vincent Manceau","FRA","DF","28",1989,33,1717,1333,384,25,2,225,28,54,1,0,0,0,927,235,555,160,1109,77,358,3,1285,7,48,72,57,"https://fbref.com/en/players/c26a3918/Vincent-Manceau",NA
"74",2018,"Angers","Ligue 1","Thomas Mangani","FRA","MF","30",1987,33.6,2088,1845,243,131,7,315,90,92,86,0,0,0,1305,116,667,1633,332,98,11,5,1496,8,45,54,74,"https://fbref.com/en/players/c801616a/Thomas-Mangani",NA
"75",2018,"Angers","Ligue 1","Mathieu Michel","FRA","GK","25",1991,6.6,137,89,48,14,0,18,5,0,0,0,0,0,40,5,92,2,102,0,0,29,86,0,8,0,0,"https://fbref.com/en/players/e39f8724/Mathieu-Michel",NA
"76",2018,"Angers","Ligue 1","Prince Oniangué","CGO","MF","28",1988,11.7,350,349,1,0,0,75,2,2,0,0,0,0,263,24,63,23,269,42,1,3,270,0,7,4,11,"https://fbref.com/en/players/9e27e5de/Prince-Oniangue",NA
"77",2018,"Angers","Ligue 1","Mateo Pavlović","BIH","DF","27",1990,21.8,875,859,16,14,0,89,16,2,1,0,0,0,621,78,176,108,645,99,1,1,726,2,15,9,9,"https://fbref.com/en/players/450e277f/Mateo-Pavlovic",NA
"78",2018,"Angers","Ligue 1","Loïc Puyo","FRA","MF","28",1988,1.9,111,107,4,2,0,15,9,4,2,0,0,0,64,6,41,91,16,4,0,0,80,0,4,1,5,"https://fbref.com/en/players/bcb98316/Loic-Puyo",NA
"79",2018,"Angers","Ligue 1","Jeff Reine-Adélaïde","FRA","MF,FW","19",1998,4.9,161,155,6,2,1,41,1,2,0,0,0,0,137,10,14,10,136,7,4,1,129,0,0,4,3,"https://fbref.com/en/players/d504b3e1/Jeff-Reine-Adelaide",NA
"80",2018,"Angers","Ligue 1","Baptiste Santamaria","FRA","MF","22",1995,28.8,1169,1168,1,0,3,174,48,14,0,0,0,0,838,76,255,146,908,92,1,3,936,3,31,24,18,"https://fbref.com/en/players/5e22e2a4/Baptiste-Santamaria",NA
"81",2018,"Angers","Ligue 1","Gilles Sunu","TOG","MF,FW","26",1991,7.3,262,253,9,2,2,60,4,12,0,0,0,0,191,28,43,36,197,19,5,2,203,1,3,7,11,"https://fbref.com/en/players/beff5d14/Gilles-Sunu",NA
"82",2018,"Angers","Ligue 1","Mehdi Tahrat","ALG","MF","27",1990,4.9,226,226,0,0,0,37,4,0,0,0,0,0,140,12,74,38,141,36,0,2,160,0,7,7,4,"https://fbref.com/en/players/ec1aa15e/Mehdi-Tahrat",NA
"83",2018,"Angers","Ligue 1","Flavien Tait","FRA","MF,FW","24",1993,24.8,981,912,69,14,5,204,31,52,37,0,0,0,708,65,208,101,836,22,15,7,702,4,20,43,53,"https://fbref.com/en/players/a0f9b535/Flavien-Tait",NA
"84",2018,"Angers","Ligue 1","Romain Thomas","FRA","DF","29",1988,27.4,1205,1180,25,25,0,127,32,1,0,0,0,0,792,42,371,927,118,142,0,1,957,5,28,11,8,"https://fbref.com/en/players/275e2c51/Romain-Thomas",NA
"85",2018,"Angers","Ligue 1","Karl Toko Ekambi","CMR","FW,MF","24",1992,33.8,907,864,43,2,4,202,27,34,0,0,0,0,719,74,114,72,759,49,10,13,690,1,15,34,44,"https://fbref.com/en/players/5ceba7fc/Karl-Toko-Ekambi",NA
"86",2018,"Angers","Ligue 1","Thomas Touré","CIV","MF","23",1993,1.4,52,49,3,0,0,16,0,1,0,0,0,0,42,5,5,5,42,1,3,1,43,0,1,2,1,"https://fbref.com/en/players/d72db2f5/Thomas-Toure",NA
"87",2018,"Angers","Ligue 1","Ismaël Traoré","CIV","DF","30",1986,31.7,1116,1103,13,13,0,165,21,1,0,0,0,0,824,49,243,142,872,85,0,6,911,3,14,12,24,"https://fbref.com/en/players/b666421b/Ismael-Traore",NA
"88",2018,"Arsenal","Premier League","Pierre-Emerick Aubameyang","GAB","FW","28",1989,11.7,324,300,24,0,0,52,6,21,0,0,0,0,208,64,52,21,271,19,3,3,222,1,9,22,20,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang",NA
"89",2018,"Arsenal","Premier League","Héctor Bellerín","ESP","DF","22",1995,33.9,2184,1907,277,3,2,255,18,69,0,0,0,0,1484,439,261,181,1617,80,274,5,1834,6,15,60,71,"https://fbref.com/en/players/f874dd44/Hector-Bellerin",NA
"90",2018,"Arsenal","Premier League","Petr Čech","CZE","GK","35",1982,33.8,1038,735,303,80,0,60,33,0,0,0,0,0,530,98,410,567,208,2,0,217,741,5,25,7,4,"https://fbref.com/en/players/71672fa0/Petr-Cech",NA
