"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xA_Expected","npxG+xA_Expected","xG_Per","xA_Per","xG+xA_Per","npxG_Per","npxG+xA_Per","Url","xAG_Expected","npxG+xAG_Expected","xAG_Per","xG+xAG_Per","npxG+xAG_Per"
"42",2010,"Chelsea","Premier League","opponent",30,27,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cff3d9bb/2009-2010/Chelsea-Stats",NA,NA,NA,NA,NA
"43",2010,"Chievo","Serie A","team",26,29.1,NA,38,418,NA,NA,36,16,35,1,1,102,5,0.95,0.42,1.37,0.92,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats",NA,NA,NA,NA,NA
"44",2010,"Chievo","Serie A","opponent",26,27.6,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats",NA,NA,NA,NA,NA
"45",2010,"Dortmund","Bundesliga","team",25,24.5,NA,34,374,NA,NA,51,32,48,3,4,49,0,1.5,0.94,2.44,1.41,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats",NA,NA,NA,NA,NA
"46",2010,"Dortmund","Bundesliga","opponent",25,26.1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats",NA,NA,NA,NA,NA
"47",2010,"Eint Frankfurt","Bundesliga","team",30,27.5,NA,34,374,NA,NA,47,26,45,2,3,62,5,1.38,0.76,2.15,1.32,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats",NA,NA,NA,NA,NA
"48",2010,"Eint Frankfurt","Bundesliga","opponent",30,25.9,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats",NA,NA,NA,NA,NA
"49",2010,"Espanyol","La Liga","team",28,25,NA,38,417,NA,NA,29,15,29,0,0,108,8,0.76,0.39,1.16,0.76,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a8661628/2009-2010/Espanyol-Stats",NA,NA,NA,NA,NA
"50",2010,"Espanyol","La Liga","opponent",28,26.8,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a8661628/2009-2010/Espanyol-Stats",NA,NA,NA,NA,NA
"51",2010,"Everton","Premier League","team",28,27.4,NA,38,418,NA,NA,56,33,51,5,6,57,2,1.47,0.87,2.34,1.34,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d3fd31cc/2009-2010/Everton-Stats",NA,NA,NA,NA,NA
"52",2010,"Everton","Premier League","opponent",28,27,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d3fd31cc/2009-2010/Everton-Stats",NA,NA,NA,NA,NA
"53",2010,"Fiorentina","Serie A","team",28,27.1,NA,38,418,NA,NA,48,27,46,2,3,77,6,1.26,0.71,1.97,1.21,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/421387cf/2009-2010/Fiorentina-Stats",NA,NA,NA,NA,NA
"54",2010,"Fiorentina","Serie A","opponent",28,27.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/421387cf/2009-2010/Fiorentina-Stats",NA,NA,NA,NA,NA
"55",2010,"Freiburg","Bundesliga","team",28,26.1,NA,34,374,NA,NA,34,20,33,1,1,52,0,1,0.59,1.59,0.97,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a486e511/2009-2010/Freiburg-Stats",NA,NA,NA,NA,NA
"56",2010,"Freiburg","Bundesliga","opponent",28,26,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a486e511/2009-2010/Freiburg-Stats",NA,NA,NA,NA,NA
"57",2010,"Fulham","Premier League","team",29,29.2,NA,38,418,NA,NA,38,21,34,4,4,46,1,1,0.55,1.55,0.89,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd962109/2009-2010/Fulham-Stats",NA,NA,NA,NA,NA
"58",2010,"Fulham","Premier League","opponent",29,27,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd962109/2009-2010/Fulham-Stats",NA,NA,NA,NA,NA
"59",2010,"Genoa","Serie A","team",32,27.4,NA,38,418,NA,NA,57,24,48,9,10,98,7,1.5,0.63,2.13,1.26,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/658bf2de/2009-2010/Genoa-Stats",NA,NA,NA,NA,NA
"60",2010,"Genoa","Serie A","opponent",32,27.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/658bf2de/2009-2010/Genoa-Stats",NA,NA,NA,NA,NA
"61",2010,"Getafe","La Liga","team",24,26.4,NA,38,418,NA,NA,57,29,51,6,6,108,4,1.5,0.76,2.26,1.34,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7848bd64/2009-2010/Getafe-Stats",NA,NA,NA,NA,NA
"62",2010,"Getafe","La Liga","opponent",24,26.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7848bd64/2009-2010/Getafe-Stats",NA,NA,NA,NA,NA
"63",2010,"Grenoble","Ligue 1","team",32,29,NA,38,418,NA,NA,30,14,30,0,2,65,7,0.79,0.37,1.16,0.79,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/40aa7280/2009-2010/Grenoble-Foot-Stats",NA,NA,NA,NA,NA
"64",2010,"Grenoble","Ligue 1","opponent",32,25.8,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/40aa7280/2009-2010/Grenoble-Foot-Stats",NA,NA,NA,NA,NA
"65",2010,"Hamburger SV","Bundesliga","team",26,27.1,NA,34,374,NA,NA,54,30,52,2,2,55,3,1.59,0.88,2.47,1.53,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/26790c6a/2009-2010/Hamburger-SV-Stats",NA,NA,NA,NA,NA
"66",2010,"Hamburger SV","Bundesliga","opponent",26,26.1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/26790c6a/2009-2010/Hamburger-SV-Stats",NA,NA,NA,NA,NA
"67",2010,"Hannover 96","Bundesliga","team",32,26.7,NA,34,375,NA,NA,40,24,38,2,2,62,3,1.18,0.71,1.88,1.12,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/60b5e41f/2009-2010/Hannover-96-Stats",NA,NA,NA,NA,NA
"68",2010,"Hannover 96","Bundesliga","opponent",32,26.2,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/60b5e41f/2009-2010/Hannover-96-Stats",NA,NA,NA,NA,NA
"69",2010,"Hertha BSC","Bundesliga","team",28,26,NA,34,374,NA,NA,34,18,34,0,1,55,2,1,0.53,1.53,1,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2818f8bc/2009-2010/Hertha-BSC-Stats",NA,NA,NA,NA,NA
"70",2010,"Hertha BSC","Bundesliga","opponent",28,26.2,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2818f8bc/2009-2010/Hertha-BSC-Stats",NA,NA,NA,NA,NA
"71",2010,"Hoffenheim","Bundesliga","team",28,24.8,NA,34,374,NA,NA,44,24,39,5,6,64,3,1.29,0.71,2,1.15,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/033ea6b8/2009-2010/Hoffenheim-Stats",NA,NA,NA,NA,NA
"72",2010,"Hoffenheim","Bundesliga","opponent",28,26.1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/033ea6b8/2009-2010/Hoffenheim-Stats",NA,NA,NA,NA,NA
"73",2010,"Hull City","Premier League","team",30,27.7,NA,38,418,NA,NA,33,16,27,6,8,63,6,0.87,0.42,1.29,0.71,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bd8769d1/2009-2010/Hull-City-Stats",NA,NA,NA,NA,NA
"74",2010,"Hull City","Premier League","opponent",30,27.1,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bd8769d1/2009-2010/Hull-City-Stats",NA,NA,NA,NA,NA
"75",2010,"Inter","Serie A","team",26,29.2,NA,38,418,NA,NA,74,44,68,6,6,89,7,1.95,1.16,3.11,1.79,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d609edc0/2009-2010/Internazionale-Stats",NA,NA,NA,NA,NA
"76",2010,"Inter","Serie A","opponent",26,27.3,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d609edc0/2009-2010/Internazionale-Stats",NA,NA,NA,NA,NA
"77",2010,"Juventus","Serie A","team",30,28.6,NA,38,418,NA,NA,54,24,51,3,4,95,6,1.42,0.63,2.05,1.34,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e0652b02/2009-2010/Juventus-Stats",NA,NA,NA,NA,NA
"78",2010,"Juventus","Serie A","opponent",30,27.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e0652b02/2009-2010/Juventus-Stats",NA,NA,NA,NA,NA
"79",2010,"Köln","Bundesliga","team",26,27.6,NA,34,374,NA,NA,32,22,31,1,1,70,4,0.94,0.65,1.59,0.91,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bc357bf7/2009-2010/Koln-Stats",NA,NA,NA,NA,NA
"80",2010,"Köln","Bundesliga","opponent",26,26.1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bc357bf7/2009-2010/Koln-Stats",NA,NA,NA,NA,NA
"81",2010,"La Coruña","La Liga","team",28,27.5,NA,38,418,NA,NA,34,15,31,3,3,64,6,0.89,0.39,1.29,0.82,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2a60ed82/2009-2010/Deportivo-La-Coruna-Stats",NA,NA,NA,NA,NA
"82",2010,"La Coruña","La Liga","opponent",28,26.5,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2a60ed82/2009-2010/Deportivo-La-Coruna-Stats",NA,NA,NA,NA,NA
"83",2010,"Lazio","Serie A","team",32,27.8,NA,38,418,NA,NA,38,24,35,3,5,96,6,1,0.63,1.63,0.92,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7213da33/2009-2010/Lazio-Stats",NA,NA,NA,NA,NA
