"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"67",2018,"Getafe","La Liga","team",32,38,13131,11258,1873,525,21,2196,527,384,178,12,25,5,6319,2107,4705,2402,8097,1152,810,154,8542,93,436,423,457,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats",NA
"68",2018,"Getafe","La Liga","opponent",32,38,19954,18180,1774,589,14,3296,597,482,176,16,25,9,12798,2537,4619,5897,11226,1383,732,236,15306,98,455,407,457,"https://fbref.com/en/squads/7848bd64/2017-2018/Getafe-Stats",NA
"69",2018,"Girona","La Liga","team",25,38,15769,14225,1544,468,8,2900,766,542,168,16,20,13,9189,1917,4663,5078,8169,1192,620,205,11643,68,411,355,404,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats",NA
"70",2018,"Girona","La Liga","opponent",25,38,18040,16396,1644,515,36,3116,364,429,165,13,24,0,11785,2237,4018,5198,10444,1083,687,201,13772,119,438,412,412,"https://fbref.com/en/squads/9024a00a/2017-2018/Girona-Stats",NA
"71",2018,"Guingamp","Ligue 1","team",23,38,17284,15748,1536,382,24,3271,454,498,180,0,0,0,11700,1400,4184,4278,10817,1065,692,180,13225,88,490,397,445,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats",NA
"72",2018,"Guingamp","Ligue 1","opponent",23,38,17733,16125,1608,368,33,2340,481,486,194,0,0,0,11997,1580,4156,5129,10265,1094,776,206,13752,89,394,444,388,"https://fbref.com/en/squads/d41b5f53/2017-2018/Guingamp-Stats",NA
"73",2018,"Hamburger SV","Bundesliga","team",29,34,15037,13124,1913,508,30,2712,489,436,199,51,60,18,7921,2767,4349,5771,6567,1049,890,242,10768,59,351,267,502,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats",NA
"74",2018,"Hamburger SV","Bundesliga","opponent",29,34,15749,13911,1838,501,33,2846,428,338,174,59,47,13,8590,2815,4344,4129,9027,968,837,226,11625,63,346,238,470,"https://fbref.com/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats",NA
"75",2018,"Hannover 96","Bundesliga","team",26,34,14890,13061,1829,532,11,2481,371,357,134,39,39,17,7661,2917,4312,2865,9271,1133,801,266,10882,48,375,242,439,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats",NA
"76",2018,"Hannover 96","Bundesliga","opponent",26,34,17002,15191,1811,476,38,2806,549,438,196,36,58,22,9996,2854,4152,4703,9933,920,813,216,12919,56,362,269,450,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats",NA
