"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"54",2010,"Fiorentina","Serie A","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/421387cf/2009-2010/Fiorentina-Stats"
"55",2010,"Freiburg","Bundesliga","team",28,NA,52,0,NA,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a486e511/2009-2010/Freiburg-Stats"
"56",2010,"Freiburg","Bundesliga","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a486e511/2009-2010/Freiburg-Stats"
"57",2010,"Fulham","Premier League","team",29,NA,46,1,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd962109/2009-2010/Fulham-Stats"
"58",2010,"Fulham","Premier League","opponent",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd962109/2009-2010/Fulham-Stats"
"59",2010,"Genoa","Serie A","team",32,NA,98,7,NA,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/658bf2de/2009-2010/Genoa-Stats"
"60",2010,"Genoa","Serie A","opponent",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/658bf2de/2009-2010/Genoa-Stats"
"61",2010,"Getafe","La Liga","team",24,NA,108,4,NA,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7848bd64/2009-2010/Getafe-Stats"
"62",2010,"Getafe","La Liga","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7848bd64/2009-2010/Getafe-Stats"
"63",2010,"Grenoble","Ligue 1","team",32,NA,65,7,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/40aa7280/2009-2010/Grenoble-Foot-Stats"
"64",2010,"Grenoble","Ligue 1","opponent",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/40aa7280/2009-2010/Grenoble-Foot-Stats"
"65",2010,"Hamburger SV","Bundesliga","team",26,NA,55,3,NA,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/26790c6a/2009-2010/Hamburger-SV-Stats"
"66",2010,"Hamburger SV","Bundesliga","opponent",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/26790c6a/2009-2010/Hamburger-SV-Stats"
"67",2010,"Hannover 96","Bundesliga","team",32,NA,62,3,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/60b5e41f/2009-2010/Hannover-96-Stats"
"68",2010,"Hannover 96","Bundesliga","opponent",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/60b5e41f/2009-2010/Hannover-96-Stats"
"69",2010,"Hertha BSC","Bundesliga","team",28,NA,55,2,NA,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2818f8bc/2009-2010/Hertha-BSC-Stats"
"70",2010,"Hertha BSC","Bundesliga","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2818f8bc/2009-2010/Hertha-BSC-Stats"
"71",2010,"Hoffenheim","Bundesliga","team",28,NA,64,3,NA,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/033ea6b8/2009-2010/Hoffenheim-Stats"
"72",2010,"Hoffenheim","Bundesliga","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/033ea6b8/2009-2010/Hoffenheim-Stats"
"73",2010,"Hull City","Premier League","team",30,NA,63,6,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bd8769d1/2009-2010/Hull-City-Stats"
"74",2010,"Hull City","Premier League","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bd8769d1/2009-2010/Hull-City-Stats"
"75",2010,"Inter","Serie A","team",26,NA,89,7,NA,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d609edc0/2009-2010/Internazionale-Stats"
"76",2010,"Inter","Serie A","opponent",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d609edc0/2009-2010/Internazionale-Stats"
"77",2010,"Juventus","Serie A","team",30,NA,95,6,NA,723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e0652b02/2009-2010/Juventus-Stats"
"78",2010,"Juventus","Serie A","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e0652b02/2009-2010/Juventus-Stats"
"79",2010,"Köln","Bundesliga","team",26,NA,70,4,NA,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bc357bf7/2009-2010/Koln-Stats"
"80",2010,"Köln","Bundesliga","opponent",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bc357bf7/2009-2010/Koln-Stats"
"81",2010,"La Coruña","La Liga","team",28,NA,64,6,NA,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2a60ed82/2009-2010/Deportivo-La-Coruna-Stats"
"82",2010,"La Coruña","La Liga","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2a60ed82/2009-2010/Deportivo-La-Coruna-Stats"
"83",2010,"Lazio","Serie A","team",32,NA,96,6,NA,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7213da33/2009-2010/Lazio-Stats"
"84",2010,"Lazio","Serie A","opponent",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7213da33/2009-2010/Lazio-Stats"
"85",2010,"Le Mans","Ligue 1","team",33,NA,85,8,NA,667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cd5d7aa6/2009-2010/Le-Mans-Stats"
"86",2010,"Le Mans","Ligue 1","opponent",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cd5d7aa6/2009-2010/Le-Mans-Stats"
"87",2010,"Lens","Ligue 1","team",23,NA,60,2,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd4e0f7d/2009-2010/Lens-Stats"
"88",2010,"Lens","Ligue 1","opponent",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd4e0f7d/2009-2010/Lens-Stats"
"89",2010,"Leverkusen","Bundesliga","team",24,NA,64,3,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c7a9f859/2009-2010/Bayer-Leverkusen-Stats"
