"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Url"
"65",2010,"Hamburger SV","Bundesliga","team",26,27.1,34,NA,NA,100,NA,374,NA,NA,92,0,NA,1.53,56,41,15,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/26790c6a/2009-2010/Hamburger-SV-Stats"
"66",2010,"Hamburger SV","Bundesliga","opponent",26,26.1,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.53,41,56,-15,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/26790c6a/2009-2010/Hamburger-SV-Stats"
"67",2010,"Hannover 96","Bundesliga","team",32,26.7,34,NA,NA,100,NA,375,NA,NA,97,0,NA,0.97,43,67,-24,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/60b5e41f/2009-2010/Hannover-96-Stats"
"68",2010,"Hannover 96","Bundesliga","opponent",32,26.2,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.97,67,43,24,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/60b5e41f/2009-2010/Hannover-96-Stats"
"69",2010,"Hertha BSC","Bundesliga","team",28,26,34,NA,NA,100,NA,374,NA,NA,73,0,NA,0.71,34,56,-22,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2818f8bc/2009-2010/Hertha-BSC-Stats"
"70",2010,"Hertha BSC","Bundesliga","opponent",28,26.2,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.71,56,34,22,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2818f8bc/2009-2010/Hertha-BSC-Stats"
"71",2010,"Hoffenheim","Bundesliga","team",28,24.8,34,NA,NA,100,NA,374,NA,NA,96,0,NA,1.24,44,42,2,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/033ea6b8/2009-2010/Hoffenheim-Stats"
"72",2010,"Hoffenheim","Bundesliga","opponent",28,26.1,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.24,42,44,-2,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/033ea6b8/2009-2010/Hoffenheim-Stats"
"73",2010,"Hull City","Premier League","team",30,27.7,38,NA,NA,100,NA,418,NA,NA,106,0,NA,0.79,34,75,-41,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bd8769d1/2009-2010/Hull-City-Stats"
"74",2010,"Hull City","Premier League","opponent",30,27.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.79,75,34,41,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bd8769d1/2009-2010/Hull-City-Stats"
"75",2010,"Inter","Serie A","team",26,29.2,38,NA,NA,100,NA,418,NA,NA,111,0,NA,2.16,75,34,41,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d609edc0/2009-2010/Internazionale-Stats"
"76",2010,"Inter","Serie A","opponent",26,27.3,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,2.16,34,75,-41,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d609edc0/2009-2010/Internazionale-Stats"
